"","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2022-05-25",212.179993,214.699997,211.339996,213.899994,1339500,210.950668
"2022-05-26",215,219.910004,214.570007,218.279999,1348300,215.270279
"2022-05-27",220,224.710007,219.639999,224.660004,1464600,221.562317
"2022-05-31",224.160004,225.229996,221.320007,222.940002,3007200,219.866043
"2022-06-01",224.029999,224.699997,218.929993,219.320007,1398700,216.295944
"2022-06-02",219.630005,223.869995,217.570007,223.710007,1412200,220.625412
"2022-06-03",222.669998,222.889999,219.5,220.679993,1445000,217.637177
"2022-06-06",222.490005,224.220001,219.100006,219.509995,1408700,216.483322
"2022-06-07",217.820007,222.740005,217.820007,222.279999,1081000,219.215118
"2022-06-08",220.880005,221.809998,218.580002,219.990005,1030700,216.956711
"2022-06-09",218.479996,221.009995,215.559998,215.699997,1080400,213.736282
"2022-06-10",212.949997,214.220001,210.460007,211.619995,1839000,209.693436
"2022-06-13",206.880005,208.940002,204.100006,204.759995,1796100,202.895874
"2022-06-14",205.520004,205.520004,201.990005,204.130005,1780400,202.271637
"2022-06-15",205.979996,210.139999,203.660004,207.149994,1784500,205.264114
"2022-06-16",203.580002,205.179993,198.550003,199.940002,1796000,198.119766
"2022-06-17",199.440002,201.479996,196.610001,200.279999,3328300,198.456665
"2022-06-21",203.429993,207.429993,202.910004,206.839996,1769300,204.956955
"2022-06-22",204.509995,209.779999,203.979996,207.399994,1505600,205.511856
"2022-06-23",209.509995,211.169998,208.190002,210.580002,1357600,208.662903
"2022-06-24",212.089996,218.850006,211.970001,218.789993,1912000,216.798157
"2022-06-27",218.270004,220.5,215.979996,218.309998,1619000,216.322525
"2022-06-28",218.720001,220.399994,213.910004,214.059998,1412800,212.111221
"2022-06-29",214.119995,215.729996,210.169998,212.190002,1534700,210.25824
"2022-06-30",210.330002,213.050003,209.179993,210.039993,2227000,208.127808
"2022-07-01",209.940002,213.520004,209.100006,213.229996,1552900,211.288773
"2022-07-05",210.639999,212.509995,205.610001,212.479996,1455600,210.545593
"2022-07-06",213.970001,218.850006,213.380005,217.259995,1351300,215.282074
"2022-07-07",217.350006,218.320007,215.740005,216.520004,1710100,214.548828
"2022-07-08",215.100006,217.850006,214.710007,217.270004,1153300,215.292007
"2022-07-11",216.889999,217.429993,214.25,214.889999,1136700,212.93367
"2022-07-12",215.759995,217.259995,211.300003,212.289993,1262500,210.35733
"2022-07-13",209.070007,213.050003,208.100006,211.070007,1079100,209.148453
"2022-07-14",208.610001,211.789993,206.869995,211.199997,954200,209.277252
"2022-07-15",213.339996,215.029999,212.979996,214.130005,1139500,212.180588
"2022-07-18",214.279999,215.610001,210.5,211.309998,1237000,209.386246
"2022-07-19",214.25,219.389999,213.220001,218.949997,1702600,216.956696
"2022-07-20",218.460007,219.059998,214.649994,216.050003,2229600,214.083115
"2022-07-21",215.740005,218.380005,214.720001,218.089996,2369000,216.104523
"2022-07-22",219.110001,222.369995,218.770004,220.339996,1647800,218.334045
"2022-07-25",221,221.220001,216.850006,218.380005,872700,216.391907
"2022-07-26",218.149994,220,216.360001,217.910004,1559500,215.926178
"2022-07-27",219.940002,234.690002,218.589996,234.039993,2880100,231.909317
"2022-07-28",235,240.270004,233.029999,239.479996,1834700,237.299789
"2022-07-29",239.759995,242.039993,237.809998,241.119995,1815600,238.924866
"2022-08-01",240.110001,242.509995,239.559998,241.320007,1214400,239.123047
"2022-08-02",241.759995,242.589996,238.699997,240.619995,1127300,238.429428
"2022-08-03",241.229996,245.570007,240.059998,244.320007,1247800,242.095734
"2022-08-04",244.690002,244.990005,242.289993,243.990005,1195400,241.768738
"2022-08-05",241.080002,247.440002,241.080002,247.199997,1168800,244.949509
"2022-08-08",249.619995,251.380005,247.270004,248.610001,1094000,246.34668
"2022-08-09",248.740005,251.570007,247.360001,249.800003,1070400,247.525848
"2022-08-10",254.949997,255,251.009995,252.470001,1608900,250.171539
"2022-08-11",252.649994,253.300003,249.979996,250.229996,1577400,247.951935
"2022-08-12",251.800003,257.160004,251,256.779999,1258400,254.442307
"2022-08-15",255.470001,259.920013,255.039993,259.709991,1069000,257.345612
"2022-08-16",258.230011,260.649994,257.720001,260.040009,1100900,257.672607
"2022-08-17",258.459991,261.540009,257.929993,260.690002,1186600,258.316711
"2022-08-18",260.369995,261.589996,259.549988,260.940002,1048900,258.564453
"2022-08-19",259.299988,260.350006,258.700012,259.820007,2210100,257.45462
"2022-08-22",259,259,255.449997,256.380005,1373400,254.045959
"2022-08-23",256.149994,257.070007,255,255.770004,1052500,253.441498
"2022-08-24",256.190002,257.339996,255.25,256.140015,864300,253.808151
"2022-08-25",256.679993,258.359985,255.75,258.209991,942600,255.859268
"2022-08-26",258.5,258.779999,250.199997,250.479996,1718800,248.199646
"2022-08-29",248.960007,250.919998,247.529999,248.880005,1177900,246.614227
"2022-08-30",248.779999,248.899994,244.130005,245.589996,1254400,243.354172
"2022-08-31",248.169998,248.350006,243.559998,244.410004,2088300,242.184921
"2022-09-01",243.089996,246.100006,242.130005,245.960007,1298200,243.72081
"2022-09-02",245.279999,247,237.089996,238.479996,2449100,236.308899
"2022-09-06",238.389999,240.429993,236.729996,238.139999,2179500,235.972
"2022-09-07",237.070007,242.300003,236.759995,241.720001,2055800,239.519409
"2022-09-08",236.690002,242.070007,235.779999,241.940002,1702700,240.773331
"2022-09-09",243.169998,245.080002,241.110001,244.300003,2076100,243.121948
"2022-09-12",245.080002,245.75,243.309998,243.949997,1651200,242.773636
"2022-09-13",239.940002,241.100006,234.220001,235.059998,2602600,233.926514
"2022-09-14",236,236.710007,232.639999,234.479996,2532200,233.349304
"2022-09-15",233.550003,234.759995,229.589996,230.710007,2096500,229.597488
