"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2022-07-25",154.009995,155.039993,152.279999,152.949997,53623900,152.252426
"2022-07-26",152.259995,153.089996,150.800003,151.600006,55138700,150.908585
"2022-07-27",152.580002,157.330002,152.160004,156.789993,78620700,156.074905
"2022-07-28",156.979996,157.639999,154.410004,157.350006,81378700,156.632355
"2022-07-29",161.240005,163.630005,159.5,162.509995,101786900,161.768829
"2022-08-01",161.009995,163.589996,160.889999,161.509995,67829400,160.773376
"2022-08-02",160.100006,162.410004,159.630005,160.009995,59907000,159.280212
"2022-08-03",160.839996,166.589996,160.75,166.130005,82507500,165.37233
"2022-08-04",166.009995,167.190002,164.429993,165.809998,55474100,165.053772
"2022-08-05",163.210007,165.850006,163,165.350006,56697000,164.824509
"2022-08-08",166.369995,167.809998,164.199997,164.869995,60276900,164.346024
"2022-08-09",164.020004,165.820007,163.25,164.919998,63135500,164.395874
"2022-08-10",167.679993,169.339996,166.899994,169.240005,70170500,168.702148
"2022-08-11",170.059998,170.990005,168.190002,168.490005,57149200,167.954529
"2022-08-12",169.820007,172.169998,169.399994,172.100006,68039400,171.553055
"2022-08-15",171.520004,173.389999,171.350006,173.190002,54091700,172.639587
"2022-08-16",172.779999,173.710007,171.660004,173.029999,56377100,172.480103
"2022-08-17",172.770004,176.149994,172.570007,174.550003,79542000,173.99527
"2022-08-18",173.75,174.899994,173.119995,174.149994,62290100,173.596527
"2022-08-19",173.029999,173.740005,171.309998,171.520004,70346300,170.974884
"2022-08-22",169.690002,169.860001,167.139999,167.570007,69026800,167.037445
"2022-08-23",167.080002,168.710007,166.649994,167.229996,54147100,166.698517
"2022-08-24",167.320007,168.110001,166.25,167.529999,53841500,166.997574
"2022-08-25",168.779999,170.139999,168.350006,170.029999,51218200,169.489624
"2022-08-26",170.570007,171.050003,163.559998,163.619995,78961000,163.100006
"2022-08-29",161.149994,162.899994,159.820007,161.380005,73314000,160.867111
"2022-08-30",162.130005,162.559998,157.720001,158.910004,77906200,158.404968
"2022-08-31",160.309998,160.580002,157.139999,157.220001,87991100,156.720337
"2022-09-01",156.639999,158.419998,154.669998,157.960007,74229900,157.457993
"2022-09-02",159.75,160.360001,154.970001,155.809998,76957800,155.314819
"2022-09-06",156.470001,157.089996,153.690002,154.529999,73714800,154.038895
"2022-09-07",154.820007,156.669998,153.610001,155.960007,87449600,155.464355
"2022-09-08",154.639999,156.360001,152.679993,154.460007,84923800,153.969116
"2022-09-09",155.470001,157.820007,154.75,157.369995,68028800,156.869858
"2022-09-12",159.589996,164.259995,159.300003,163.429993,104956000,162.910599
"2022-09-13",159.899994,160.539993,153.369995,153.839996,122656600,153.351074
"2022-09-14",154.789993,157.100006,153.610001,155.309998,87965400,154.816406
"2022-09-15",154.649994,155.240005,151.380005,152.369995,90481100,151.885757
"2022-09-16",151.210007,151.350006,148.369995,150.699997,162278800,150.221069
"2022-09-19",149.309998,154.559998,149.100006,154.479996,81474200,153.989044
"2022-09-20",153.399994,158.080002,153.080002,156.899994,107689800,156.401352
"2022-09-21",157.339996,158.740005,153.600006,153.720001,101696800,153.231461
"2022-09-22",152.380005,154.470001,150.910004,152.740005,86652500,152.254593
"2022-09-23",151.190002,151.470001,148.559998,150.429993,96029900,149.95192
"2022-09-26",149.660004,153.770004,149.639999,150.770004,93339400,150.290848
"2022-09-27",152.740005,154.720001,149.949997,151.759995,84442700,151.277695
"2022-09-28",147.639999,150.639999,144.839996,149.839996,146691400,149.363785
