"","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2022-06-22",204.509995,209.779999,203.979996,207.399994,1505600,204.354523
"2022-06-23",209.509995,211.169998,208.190002,210.580002,1357600,207.487839
"2022-06-24",212.089996,218.850006,211.970001,218.789993,1912000,215.577271
"2022-06-27",218.270004,220.5,215.979996,218.309998,1619000,215.104324
"2022-06-28",218.720001,220.399994,213.910004,214.059998,1412800,210.916733
"2022-06-29",214.119995,215.729996,210.169998,212.190002,1534700,209.074203
"2022-06-30",210.330002,213.050003,209.179993,210.039993,2227000,206.955765
"2022-07-01",209.940002,213.520004,209.100006,213.229996,1552900,210.098923
"2022-07-05",210.639999,212.509995,205.610001,212.479996,1455600,209.35994
"2022-07-06",213.970001,218.850006,213.380005,217.259995,1351300,214.069748
"2022-07-07",217.350006,218.320007,215.740005,216.520004,1710100,213.340637
"2022-07-08",215.100006,217.850006,214.710007,217.270004,1153300,214.079605
"2022-07-11",216.889999,217.429993,214.25,214.889999,1136700,211.734543
"2022-07-12",215.759995,217.259995,211.300003,212.289993,1262500,209.172714
"2022-07-13",209.070007,213.050003,208.100006,211.070007,1079100,207.970642
"2022-07-14",208.610001,211.789993,206.869995,211.199997,954200,208.09874
"2022-07-15",213.339996,215.029999,212.979996,214.130005,1139500,210.985733
"2022-07-18",214.279999,215.610001,210.5,211.309998,1237000,208.207108
"2022-07-19",214.25,219.389999,213.220001,218.949997,1702600,215.73494
"2022-07-20",218.460007,219.059998,214.649994,216.050003,2229600,212.877518
"2022-07-21",215.740005,218.380005,214.720001,218.089996,2369000,214.887558
"2022-07-22",219.110001,222.369995,218.770004,220.339996,1647800,217.104523
"2022-07-25",221,221.220001,216.850006,218.380005,872700,215.173325
"2022-07-26",218.149994,220,216.360001,217.910004,1559500,214.710205
"2022-07-27",219.940002,234.690002,218.589996,234.039993,2880100,230.603348
"2022-07-28",235,240.270004,233.029999,239.479996,1834700,235.96347
"2022-07-29",239.759995,242.039993,237.809998,241.119995,1815600,237.579391
"2022-08-01",240.110001,242.509995,239.559998,241.320007,1214400,237.776459
"2022-08-02",241.759995,242.589996,238.699997,240.619995,1127300,237.086716
"2022-08-03",241.229996,245.570007,240.059998,244.320007,1247800,240.732407
"2022-08-04",244.690002,244.990005,242.289993,243.990005,1195400,240.407257
"2022-08-05",241.080002,247.440002,241.080002,247.199997,1168800,243.570114
"2022-08-08",249.619995,251.380005,247.270004,248.610001,1094000,244.959412
"2022-08-09",248.740005,251.570007,247.360001,249.800003,1070400,246.131943
"2022-08-10",254.949997,255,251.009995,252.470001,1608900,248.762741
"2022-08-11",252.649994,253.300003,249.979996,250.229996,1577400,246.555618
"2022-08-12",251.800003,257.160004,251,256.779999,1258400,253.009445
"2022-08-15",255.470001,259.920013,255.039993,259.709991,1069000,255.896408
"2022-08-16",258.230011,260.649994,257.720001,260.040009,1100900,256.221588
"2022-08-17",258.459991,261.540009,257.929993,260.690002,1186600,256.86203
"2022-08-18",260.369995,261.589996,259.549988,260.940002,1048900,257.108337
"2022-08-19",259.299988,260.350006,258.700012,259.820007,2210100,256.004791
"2022-08-22",259,259,255.449997,256.380005,1373400,252.615326
"2022-08-23",256.149994,257.070007,255,255.770004,1052500,252.014282
"2022-08-24",256.190002,257.339996,255.25,256.140015,864300,252.37886
"2022-08-25",256.679993,258.359985,255.75,258.209991,942600,254.418442
"2022-08-26",258.5,258.779999,250.199997,250.479996,1718800,246.801941
"2022-08-29",248.960007,250.919998,247.529999,248.880005,1177900,245.225449
"2022-08-30",248.779999,248.899994,244.130005,245.589996,1254400,241.983749
"2022-08-31",248.169998,248.350006,243.559998,244.410004,2088300,240.821091
"2022-09-01",243.089996,246.100006,242.130005,245.960007,1298200,242.348328
"2022-09-02",245.279999,247,237.089996,238.479996,2449100,234.978149
"2022-09-06",238.389999,240.429993,236.729996,238.139999,2179500,234.643143
"2022-09-07",237.070007,242.300003,236.759995,241.720001,2055800,238.170578
"2022-09-08",236.690002,242.070007,235.779999,241.940002,1702700,239.41745
"2022-09-09",243.169998,245.080002,241.110001,244.300003,2076100,241.752838
"2022-09-12",245.080002,245.75,243.309998,243.949997,1651200,241.406479
"2022-09-13",239.940002,241.100006,234.220001,235.059998,2602600,232.609177
"2022-09-14",236,236.710007,232.639999,234.479996,2532200,232.035217
"2022-09-15",233.550003,234.759995,229.589996,230.710007,2096500,228.304535
"2022-09-16",229.919998,234.279999,228.240005,233.639999,2719700,231.203979
"2022-09-19",230.820007,235.820007,230.809998,235.720001,1471700,233.262299
"2022-09-20",234.470001,234.690002,231.630005,233.539993,1746600,231.105026
"2022-09-21",235.610001,237.089996,230.339996,230.419998,1430500,228.017563
"2022-09-22",229.850006,232.490005,228.850006,230.470001,1628300,228.067032
"2022-09-23",230.240005,230.880005,227.690002,230.279999,1952500,227.879013
"2022-09-26",229.970001,232.399994,227.820007,228.639999,1686600,226.256104
"2022-09-27",230.410004,231.949997,225.529999,227.619995,1872700,225.24675
"2022-09-28",229.229996,233.339996,227.130005,231.949997,2337900,229.531601
"2022-09-29",230.809998,230.830002,225.330002,227.75,2020500,225.375397
"2022-09-30",227.770004,229.690002,225.940002,226.190002,2875300,223.831665
"2022-10-03",228.350006,233.470001,227.690002,232.25,1784200,229.828476
"2022-10-04",234.970001,237.960007,234.410004,236.619995,1941000,234.152908
"2022-10-05",235.429993,241.130005,234.050003,239.050003,1659100,236.557587
"2022-10-06",239.380005,240.970001,234.600006,234.889999,1497700,232.440948
"2022-10-07",231.949997,232.720001,225.910004,227.119995,2068400,224.751968
"2022-10-10",227.860001,230.300003,226.169998,228.690002,1081300,226.305603
"2022-10-11",228.179993,228.690002,225.110001,226.270004,1449600,223.910828
"2022-10-12",227.259995,227.419998,224.020004,224.110001,1215200,221.773346
"2022-10-13",219.580002,231.309998,218.800003,229.899994,1919300,227.502975
"2022-10-14",232.600006,233.210007,225.419998,225.910004,2166300,223.554581
"2022-10-17",230.330002,233.559998,229.880005,233.080002,2123100,230.649826
"2022-10-18",236.75,239.259995,232.770004,235.020004,1619100,232.569595
"2022-10-19",231.240005,234.190002,230.220001,233.240005,1631000,230.808167
"2022-10-20",233.600006,234.699997,228.880005,229.479996,1314300,227.087357
"2022-10-21",228.940002,233.169998,227.419998,232.740005,2112100,230.31337
"2022-10-24",235.300003,238.380005,233.449997,236.910004,1731700,234.439896
"2022-10-25",235.320007,238.399994,235.320007,237.759995,2216200,235.281021
"2022-10-26",246.029999,246.300003,233.880005,235.139999,2942400,232.688339
"2022-10-27",235.330002,238.259995,233.710007,234.970001,1806100,232.520111
"2022-10-28",236.050003,243.220001,235.570007,242.639999,1589200,240.110138
"2022-10-31",240.589996,242.389999,239.460007,241.699997,1711400,239.179947
"2022-11-01",242.339996,244.309998,240.880005,243.639999,1522600,241.099716
"2022-11-02",243.639999,247.75,237.339996,237.440002,1592400,234.964355
"2022-11-03",234.529999,239.860001,233.389999,236.100006,1987000,233.638336
"2022-11-04",238.820007,239.580002,232.080002,236.860001,1468600,234.390411
"2022-11-07",238.520004,241.229996,236.320007,240.410004,1250400,237.903397
"2022-11-08",240.940002,248.449997,240.119995,245.039993,1724200,242.485123
"2022-11-09",243.649994,245.600006,240.009995,240.380005,1242900,237.873703
"2022-11-10",251.179993,255.669998,247.580002,254.880005,2672800,252.222534
"2022-11-11",254.210007,255.960007,247.429993,249.229996,2126800,246.631424
"2022-11-14",248.990005,252.759995,248.360001,250.080002,1556600,247.47258
"2022-11-15",250.690002,254.940002,248.899994,253.320007,1517300,250.678802
"2022-11-16",254.649994,256.720001,253.050003,253.619995,1430800,250.975662
"2022-11-17",250.940002,255,249.75,253.550003,1116700,250.906387
"2022-11-18",256.399994,257.820007,253.820007,256.019989,1806600,253.350632
"2022-11-21",257.899994,260.429993,256.149994,257.600006,1243600,254.914169
"2022-11-22",259.829987,262.540009,258.059998,261.970001,1267400,259.238617
"2022-11-23",261.959991,264,260.23999,262.579987,1386300,259.842224
"2022-11-25",263.600006,264.940002,261.959991,263.950012,594700,261.197968
"2022-11-28",263.48999,264.350006,257.600006,258.329987,1465700,255.636551
"2022-11-29",257.149994,258.709991,255.429993,257.059998,1131700,254.379791
"2022-11-30",257.079987,264.950012,254.639999,264.140015,4155500,261.385986
"2022-12-01",267.059998,269.399994,263.910004,267.950012,1449900,265.156281
"2022-12-02",263.109985,270.880005,263.109985,269.899994,1807000,267.085938
"2022-12-05",266.549988,267,263.459991,264.390015,1256000,261.633392
"2022-12-06",264.279999,264.670013,257.049988,258.529999,1371300,255.834457
"2022-12-07",259.230011,259.809998,257.329987,259.220001,1265500,256.517273
"2022-12-08",258.369995,261.019989,258.200012,260.049988,1197200,258.585541
"2022-12-09",260.170013,260.380005,256.950012,257.200012,1991400,255.751617
"2022-12-12",258.660004,264.980011,256.869995,264.429993,1277600,262.940887
"2022-12-13",273.890015,274.920013,261.100006,262.200012,2086100,260.72345
"2022-12-14",262.48999,265.459991,258.679993,260.079987,1863100,258.615387
"2022-12-15",256.959991,257.700012,248.080002,248.789993,1843200,247.388962
"2022-12-16",246.25,247.919998,244.440002,247.050003,4051700,245.658768
"2022-12-19",245.309998,247.100006,243.660004,245.059998,1810400,243.679977
"2022-12-20",244.880005,245.309998,241.639999,243.910004,1445900,242.536453
"2022-12-21",245.919998,247.559998,244.130005,247.039993,1341300,245.648819
"2022-12-22",244.479996,244.710007,236.740005,239.160004,2369700,237.813202
"2022-12-23",237.919998,241.649994,236.589996,240.940002,1049600,239.583176
"2022-12-27",241.369995,242.190002,239.339996,241.029999,926700,239.672668
"2022-12-28",241.350006,242.740005,237.720001,237.850006,1045300,236.510574
"2022-12-29",238.179993,241.830002,238.179993,240.619995,975200,239.264969
"2022-12-30",239.699997,240.199997,236.050003,238.860001,1042600,237.514893
